Data_Publicacao,Portal,Casa,Noticia,Resumo,Rotulo_Especialista,Evidencia,Sentimento_Rotulo,Concorda,AUDITORIA_correto?,AUDITORIA_rotulo_certo,URL
2018-01-29,MoneyTimes,credit suisse,Credit Suisse eleva preço-alvo para Petrobras,"O Credit Suisse reiterou a recomendação de desempenho acima da média (outperform) para os papéis da Petrobras (PETR3; PETR4) e elevou o preço-alvo para as ADRs de US$12,40 para US$ 15, mostra um relatório enviado a clientes nesta segunda-feira. Gostou desta notícia? Receba nosso conteúdo gratuito “Apesar da impressionante disparada até agora (preços de ações […]",Positive,eleva preço-alvo,Positive,True,,,https://www.moneytimes.com.br/credit-suisse-eleva-preco-alvo-para-petrobras/
2018-04-09,InfoMoney,analista,Analista recomenda compra de blue chip e estrutura de opções com Petrobras para esta semana,"Visão Técnica recebeu o analista técnico da Rico Investimentos, Jeferson Silva, mais conhecido como Jota Trader",Positive,recomenda compra,Neutral,False,,,https://www.infomoney.com.br/mercados/analista-recomenda-compra-de-blue-chip-e-estrutura-de-opcoes-com-petrobras-para-esta-semana/
2018-04-09,Exame,moody's,"Moody's eleva rating da Petrobras, com perspectiva estável","Medida foi reflexo da decisão da agência, que horas antes havia anunciado a melhora da perspectiva do rating soberano do Brasil, de negativa para estável",Positive,eleva rating,Positive,True,,,https://exame.com/economia/moodys-eleva-rating-da-petrobras-com-perspectiva-estavel/
2018-05-28,InfoMoney,analista,Por que o melhor analista do Brasil recomendou comprar as ações da Petrobras?,"Giba, que afirma que depois de ciclos de queda as ações tendem a apresentar forte recuperação, vê correção da Petrobras em 50%",Positive,recomendou compra,Neutral,False,,,https://www.infomoney.com.br/onde-investir/por-que-o-melhor-analista-do-brasil-recomendou-comprar-as-acoes-da-petrobras/
2018-05-28,InfoMoney,xp,XP muda toda seleção de investimentos e recomenda compra de Petrobras para esta semana,"A Carteira Top Picks, elaborada pelo analista Giba, é divulgada toda segunda-feira",Positive,recomenda compra,Neutral,False,,,https://www.infomoney.com.br/onde-investir/xp-muda-toda-selecao-de-investimentos-e-recomenda-compra-de-petrobras-para-esta-semana/
2018-05-30,MoneyTimes,btg,"Ação da Petrobras está atraente neste nível, diz BTG Pactual","Segundo o BTG Pactual, com a queda de 25% desde o início da greve e 16% no mês, as ações da Petrobras (PETR4) parecem interessantes. “E enquanto a empresa está absorvendo parte dos custos para acabar com a greve, o governo é o que está à frente da maior parte dela, com o objetivo de […]",Positive,está atraent,Positive,True,,,https://www.moneytimes.com.br/acao-da-petrobras-esta-atraente-neste-nivel-diz-btg-pactual/
2018-06-01,Exame,fitch,Fitch: possível aumento de interferência política na Petrobras é negativo,"Agência afirma que demissão de Parente é negativo para o crédito da companhia, pois poderia tirar dos trilhos suas metas de desalavancagem",Negative,é negativ,Negative,True,,,https://exame.com/negocios/fitch-possivel-aumento-de-interferencia-politica-na-petrobras-e-negativo/
2018-06-01,MoneyTimes,credit suisse,"Petrobras: Saída de Parente é muito negativa, avalia Credit Suisse","Para o Credit Suisse, a demissão de Pedro Parente do cargo de CEO da Petrobras (PETR4) é “muito negativa”, mostra um relatório enviado a clientes nesta sexta-feira (1) e assinado por Regis Cardoso. “Muito negativo. Pedro Parente mencionou em confissões recentes que partiria caso o governo interferisse na administração da empresa, particularmente na política de […]",Negative,é muito negativ,Negative,True,,,https://www.moneytimes.com.br/petrobras-saida-de-parente-e-muito-negativa-avalia-credit-suisse/
2018-06-04,MoneyTimes,itaú bba,"O show da Petrobras vai continuar, avalia Itaú BBA","Em um relatório enviado a clientes nesta segunda-feira, com o nome de “O show deve continuar”, o Itaú BBA reforça a sua visão positiva sobre as ações da Petrobras (PETR4). O preço justo de R$ 27 para o final de 2018 e a recomendação Market Perform (desempenho em linha com a média do mercado), que […]",Positive,são positiv,Neutral,False,,,https://www.moneytimes.com.br/o-show-da-petrobras-vai-continuar-avalia-itau-bba/
2018-08-03,InfoMoney,analistas,"Petrobras lucra R$ 10,07 bilhões no 2º tri de 2018, alta de 3.087% e acima do esperado pelo mercado","A expectativa de lucro líquido, segundo analistas consultados pela Bloomberg, é de R$ 6,92 bilhões",Positive,acima do esperado,Positive,True,,,https://www.infomoney.com.br/negocios/petrobras-lucra-r-1007-bilhoes-no-2o-tri-de-2018-alta-de-3-087-e-acima-do-esperado-pelo-mercado/
2018-08-03,MoneyTimes,xp,XP mantém recomendação neutra e preço-alvo em R$ 20 para Petrobras,"Por Investing.com – Destaque na bolsa paulista nesta sexta-feira, as ações da Petrobras (PETR4) operam com ganhos de 3,97% a R$ 21,24, pesando positivamente para o resultado parcial do principal índice da bolsa paulista. Para a XP Investimentos, os números da estatal foram positivos, atendendo as expectativas do mercado. Apesar disso, o resultado foi melhor do que […]",Neutral,recomendação neutr,Positive,False,,,https://www.moneytimes.com.br/xp-mantem-recomendacao-neutra-e-preco-alvo-em-r-20-para-petrobras/
2018-08-16,MoneyTimes,xp,XP mantém recomendação neutra para Petrobras diante de incertezas eleitorais,"Por Investing.com – Faltando pouco mais de 50 dias para as eleições, a XP Investimentos revisou a tese de investimentos para as ações preferenciais da Petrobras (PETR4), levando consideração os impactos para o ativo nos diferentes cenários diferentes para a política de preços de combustíveis da companhia a partir de 2019. A corretora decidiu pela […]",Neutral,recomendação neutr,Positive,False,,,https://www.moneytimes.com.br/xp-mantem-recomendacao-neutra-para-petrobras-diante-de-incertezas-eleitorais/
2018-08-16,InfoMoney,xp,"XP eleva preço-alvo para ações de Petrobras, mas não recomenda compra; entenda",Cenário incerto no pós-eleição pode gerar impactos para os papéis da companhia,Positive,eleva preço-alvo,Neutral,False,,,https://www.infomoney.com.br/onde-investir/xp-eleva-preco-alvo-para-acoes-de-petrobras-mas-nao-recomenda-compra-entenda/
2018-10-08,InfoMoney,bradesco bbi,Bradesco BBI recomenda compra para Petrobras após eleição e vê alta de 67%,Equipe de análise estima um preço-alvo de R$ 40 para os papéis da companhia,Positive,recomenda compra,Neutral,False,,,https://www.infomoney.com.br/onde-investir/bradesco-bbi-recomenda-compra-para-petrobras-apos-eleicao-e-ve-alta-de-67/
2018-10-28,Exame,xp investimentos,XP Investimentos eleva recomendação de Petrobras para 'compra',A percepção de menor intervenção do governo na estatal tem como base afirmações do presidente eleito de que manteria repasses de preços,Positive,eleva recomendaç,Positive,True,,,https://exame.com/invest/mercados/xp-investimentos-eleva-recomendacao-de-petrobras-para-compra/
2018-10-29,InfoMoney,xp,XP eleva preço-alvo de Petrobras e BB após vitória de Bolsonaro,"O preço-alvo das ações ordinárias da Petrobras (PETR3) passou de R$ 27 para R$ 32, enquanto nas preferenciais (PETR4) o alvo foi de R$ 28 para R$ 33; no BB (BBAS3) o preço-alvo foi de R$ 41,00 para R$ 51,00",Positive,eleva preço-alvo,Positive,True,,,https://www.infomoney.com.br/onde-investir/xp-eleva-preco-alvo-de-petrobras-e-bb-apos-vitoria-de-bolsonaro/
2018-10-29,MoneyTimes,xp,Petrobras: XP recomenda compra e eleva preço-alvo,"Por Arena do Pavini – Com a eleição de Jair Bolsonaro para a Presidência da República, os analistas do mercado devem rever suas estratégicas para a bolsa de valores. A corretora XP Investimentos divulgou hoje mesmo, logo após o resultado da eleição, a recomendação de compra para as ações da Petrobras e o aumento do preço-alvo dos papéis. A ação preferencial (PETR4) de […]",Positive,eleva preço-alvo,Neutral,False,,,https://www.moneytimes.com.br/petrobras-xp-recomenda-compra-e-eleva-preco-alvo/
2018-11-06,InfoMoney,xp,"Petrobras teve resultado decepcionante, mas este ainda não é o verdadeiro potencial da estatal, diz XP","Conforme destaca a XP Research, há espaço para as ações reduzirem o nível de desconto que negociam em relação às petroleiras globais e a recomendação segue de compra para os ativos",Negative,decepcion,Negative,True,,,https://www.infomoney.com.br/negocios/petrobras-teve-resultado-decepcionante-mas-este-ainda-nao-e-o-verdadeiro-potencial-da-estatal-diz-xp/
2018-11-28,MoneyTimes,itaú bba,Petrobras: Cessão onerosa deve compensar queda do petróleo,"A equipe de análise do Itaú BBA atualizou a tese de investimento na Petrobras (PETR4) com a recomendação alterada de market perform (desempenho em média com o mercado) para outperform (desempenho acima da média do mercado), com preço-alvo de R$ 32 para o final de 2019. O valor corresponde a um potencial de valorização de aproximadamente […]",Positive,outperform,Negative,False,,,https://www.moneytimes.com.br/petrobras-cessao-onerosa-deve-compensar-queda-do-petroleo/
2019-01-08,MoneyTimes,bradesco bbi,"Bradesco BBI: US$ 14 bi da Cessão Onerosa elevaria preço-alvo da Petrobras em R$ 2,15","Segundo cálculos da equipe do Bradesco BBI, um possível pagamento da União à Petrobras (PETR4) de US$ 14 bilhões, que cedeu para a estatal o direito de explorar seis grandes blocos de petróleo na camada do pré-sal, pode resultar em um aumento de R$ 2,15 no preço-alvo das ações. O valor atual é estipulado em R$ […]",Positive,elevaria preço-alvo,Neutral,False,,,https://www.moneytimes.com.br/bradesco-bbi-us-14-bi-da-cessao-onerosa-elevaria-preco-alvo-da-petrobras-em-r-215/
2019-01-11,MoneyTimes,itaú bba,Petrobras: Itaú BBA reforça recomendação de compra,"O analista do Itaú BBA André Hachem fez uma análise do discurso inaugural do novo CEO da Petrobras (PETR4), Roberto Castello Branco e das mudanças na alta gestão da companhia, mostra um relatório enviado a clientes. Ele manteve a recomendação outperform para a companhia (desempenho acima da média do mercado), com preço-alvo de R$ 32 por ação para […]",Positive,recomendação de compra,Positive,True,,,https://www.moneytimes.com.br/petrobras-itau-bba-reforca-recomendacao-de-compra/
2019-01-21,MoneyTimes,xp,XP aposta em Petrobras e Gol na carteira Top Picks desta semana,A XP Investimentos publicou nesta segunda-feira (21) sua carteira Top Picks para esta semana. A corretora optou por trocar as ações das empresas Bradespar (BRAP4) e JBS (JBSS3) pelos papéis da Petrobras (PETR4) e da Gol (GOLL4). + Veja aqui quais são as pequenas gigantes da Bolsa que podem te ajudar a transformar centavos em […],Positive,top pick,Neutral,False,,,https://www.moneytimes.com.br/xp-aposta-em-petrobras-e-gol-na-carteira-top-picks-desta-semana/
