Ticker,Data,Categoria,Assunto,sigma_est,CAR[0],ABS[0],"CAR[0,+1]","ABS[0,+1]","CAR[-1,+1]","ABS[-1,+1]","CAR[0,+5]","ABS[0,+5]",CAR_padronizado
GGBR4,2018-01-02,Fato Relevante,Venda de Ativo,0.016863847425479948,0.021544880703906703,0.021544880703906703,0.01908769075465675,0.012001035326578327,0.019963489183362874,0.008292623027287593,0.08783202087722464,0.021747237831450935,0.80035327818589
MGLU3,2018-01-02,Comunicado ao Mercado,Entrada Índices Ibovespa e IBrX50,0.043490095900929594,-0.045724830168400295,0.045724830168400295,-0.06541134355193708,0.03270567177596854,-0.07038793967166046,0.023462646557220152,-0.12247269667443729,0.022462286215133343,-1.0635250080262297
PETR4,2018-01-02,Comunicado ao Mercado,Aprovação do novo modelo de tributação para o setor de óleo e gás,0.014266620323383723,0.0008901906837029024,0.0008901906837029024,0.0071534692040204845,0.0035767346020102423,0.0061705712305864385,0.0027121223924848436,0.008040170851125465,0.005490188802132072,0.3545525477313825
VALE3,2018-01-02,Fato Relevante,Vale informa sobre o fechamento da transação de Fertilizantes,0.0151917849721281,0.01529277876753744,0.01529277876753744,0.007571757213632753,0.011506900160721064,0.007243850647160279,0.0077805689626382,0.03263461508415727,0.00963393576430408,0.3524300061566677
PETR4,2018-01-02,Comunicado ao Mercado,Autuação fiscal sobre remessas ao exterior para pagamento de afretamento,0.014266620323383723,0.0008901906837029024,0.0008901906837029024,0.0071534692040204845,0.0035767346020102423,0.0061705712305864385,0.0027121223924848436,0.008040170851125465,0.005490188802132072,0.3545525477313825
ITUB4,2018-01-02,Comunicado ao Mercado,Negociação das Próprias Ações para Tesouraria - Dezembro/2017,0.006337709643346886,0.009754384567910206,0.009754384567910206,0.015170821324296096,0.007585410662148048,0.015204794267303725,0.005068264755767909,0.012657406559436448,0.006851619708945915,1.6926289208973941
EGIE3,2018-01-02,Comunicado ao Mercado,"Operação das usinas Jaguara, Miranda e Assú V",0.009548322577699548,-0.005865221954309122,0.005865221954309122,-0.013147960926672912,0.006573980463336456,-0.01285580123247525,0.004480040206956858,-0.021156530397822188,0.006842090096664366,-0.9736801678380334
CPFE3,2018-01-03,Comunicado ao Mercado,Notícia divulgada na mídia,0.021436521079714044,-0.00939290816864528,0.00939290816864528,-0.01662005636671826,0.00831002818335913,-0.01701687859827751,0.005672292866092503,0.048826707604220615,0.018701629273133197,-0.5482304949066812
ITSA4,2018-01-03,Comunicado ao Mercado,Negociação das Próprias Ações para Tesouraria - Dezembro de 2017,0.006918135550572003,0.009879729468646712,0.009879729468646712,0.018728277164556745,0.009364138582278372,0.015664385731360038,0.007264056199251151,0.008859015389857089,0.007862553127999954,1.9142284342642426
PETR4,2018-01-03,Fato Relevante,Petrobras assina acordo para encerrar Class Action em curso nos Estados Unidos,0.0142631846021494,0.0060705125453909764,0.0060705125453909764,-0.004386093559807844,0.008263559325294899,-0.003672489835399505,0.005746907458332712,0.0026473241918785447,0.005897912555812877,-0.21744348023031249
CSNA3,2018-01-04,Comunicado ao Mercado,Comunicado ao Mercado,0.021422766369489685,0.013093128830708869,0.013093128830708869,0.02505462649624999,0.012527313248124994,0.060616388137167916,0.020205462712389304,0.16034810504325578,0.026724684173875964,0.8269845261826724
CPFE3,2018-01-04,Fato Relevante,"Incorporação das distribuidoras CPFL Santa Cruz, CPFL Leste Paulista, CPFL Sul Paulista e CPFL Mococa pela Companhia Jaguari de Energia",0.022169204559329123,-0.0061068413922346215,0.0061068413922346215,-0.020249482905962825,0.010124741452981412,-0.028976099677665845,0.009658699892555281,0.09219298044034023,0.022115324375377648,-0.645875527018038
MGLU3,2018-01-05,Comunicado ao Mercado,Notícia divulgada na mídia,0.04322488973057154,-0.03187465021808869,0.03187465021808869,-0.041492948061467506,0.020746474030733753,-0.034146611113508196,0.016279761669808938,-0.070103359228969,0.017953087988885407,-0.6787743156446668
BBAS3,2018-01-05,Comunicado ao Mercado,Ações para melhoria do atendimento,0.011025870056648743,-0.0074545495978587005,0.0074545495978587005,-0.010240422522395059,0.005120211261197529,-0.012690374637181362,0.004230124879060454,0.004877689327039524,0.0042264223953049395,-0.6567347674693966
UGPA3,2018-01-08,Comunicado ao Mercado,Notícia divulgada na mídia,0.012043151592285748,0.005677626904946802,0.005677626904946802,0.008517093785099836,0.004258546892549918,0.008158452744007503,0.00295857827539739,0.007874182647438423,0.0032327750318033375,0.5000763068783098
CVCB3,2018-01-08,Comunicado ao Mercado,Dados Operacionais 4T17,0.01500296156849547,-0.008589591961291679,0.008589591961291679,0.0061598861529255505,0.011669535037754454,-0.004367635297781655,0.011288863842072039,-0.007498629447989747,0.008034708355745001,0.29032249734060805
OIBR3,2018-01-08,Fato Relevante,Homologação do Plano de Recuperação Judicial,0.03365356325749024,-0.011336707578554334,0.011336707578554334,-0.009625857170395827,0.006523778993356421,-0.0043744850285643965,0.006099643376181424,-0.054619413161949314,0.016280486968547548,-0.20225224971994973
RAIL3,2018-01-08,Comunicado ao Mercado,Notícia divulgada na mídia,0.019852046767424355,0.007007507345155539,0.007007507345155539,-0.01900776895304746,0.01651139182167927,-0.027959851709486422,0.013991622133265833,-0.0075868521295059535,0.0076358851326999945,-0.6770345888959833
PRIO3,2018-01-08,Comunicado ao Mercado,Alteração de Participação Acionária Relevante,0.023250237128063025,0.06673922623413811,0.06673922623413811,-0.05046221960337802,0.09197033603582712,-0.0020917057312957177,0.07743706198124552,-0.036683359338005275,0.05688785404569488,-1.5347016668576234
PRIO3,2018-01-08,Comunicado ao Mercado,Divulgação de Dados Operacionais de Dezembro de 2017,0.023250237128063025,0.06673922623413811,0.06673922623413811,-0.05046221960337802,0.09197033603582712,-0.0020917057312957177,0.07743706198124552,-0.036683359338005275,0.05688785404569488,-1.5347016668576234
KLBN11,2018-01-09,Comunicado ao Mercado,Alteração na Diretoria Executiva,0.014638744408586,-0.005743121698543167,0.005743121698543167,-0.018627595050937824,0.009313797525468912,-0.0034007027450585967,0.011284829118939016,-0.05109104288402129,0.008971321586195182,-0.8997833700812187
VALE3,2018-01-09,Comunicado ao Mercado,Vale informa sobre pagamento do leilão das frações de ações,0.015082343015354683,0.0025623863420708897,0.0025623863420708897,-0.003167614997339768,0.004146193840740773,0.01417956997182053,0.008546524216880616,-0.031067966790615707,0.008933962767050992,-0.14850756560349218
PRIO3,2018-01-09,Comunicado ao Mercado,Negociações atípicas de valores mobiliários,0.023103081911784284,-0.11769181275102064,0.11769181275102064,-0.13660454761081842,0.06830227380540921,-0.07014422417487565,0.06768829034892039,-0.16600212916490706,0.056175420905416135,-4.181000713470188
VALE3,2018-01-09,Fato Relevante,Vale anuncia a conclusão da transação de Fertilizantes,0.015082343015354683,0.0025623863420708897,0.0025623863420708897,-0.003167614997339768,0.004146193840740773,0.01417956997182053,0.008546524216880616,-0.031067966790615707,0.008933962767050992,-0.14850756560349218
GGBR4,2018-01-09,Fato Relevante,Aquisição de Ações de Emissão da Própria Companhia,0.01673515341261456,0.014910778635865748,0.014910778635865748,0.01299720390684989,0.008412176682440804,0.04286428228171159,0.015563810579914438,0.03253928206739824,0.019808035930695387,0.5491680173108142
RAIL3,2018-01-10,Comunicado ao Mercado,Precificação de título de dívida,0.019548091665442063,0.007564869164548042,0.007564869164548042,0.01035328520631063,0.005176642603155315,-0.014648254448523544,0.0117849416203816,0.010201770701963545,0.004956585294070745,0.374506028631059
