Data_Entrega,Ano,Ticker,Nome_Companhia,Codigo_CVM,Categoria,Tipo,Especie,Assunto,Protocolo_Entrega,Link_Download
2018-01-02,2018,GGBR4,GERDAU S.A.,3980,Fato Relevante,,,Venda de Ativo,003980IPE020120180104310205-79,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=591940&numSequencia=134736&numVersao=1
2018-01-02,2018,MGLU3,MAGAZINE LUIZA SA,22470,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Entrada Índices Ibovespa e IBrX50,022470IPE020120180104310205-04,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=591928&numSequencia=134724&numVersao=1
2018-01-02,2018,PETR4,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,9512,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Aprovação do novo modelo de tributação para o setor de óleo e gás,009512IPE020120180104310205-26,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=591933&numSequencia=134729&numVersao=1
2018-01-02,2018,VALE3,VALE S.A.,4170,Fato Relevante,,,Vale informa sobre o fechamento da transação de Fertilizantes,004170IPE020120180104310205-13,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=591931&numSequencia=134727&numVersao=1
2018-01-02,2018,PETR4,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,9512,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Autuação fiscal sobre remessas ao exterior para pagamento de afretamento,009512IPE020120180104310212-76,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=592058&numSequencia=134854&numVersao=1
2018-01-02,2018,ITUB4,ITAÚ UNIBANCO HOLDING S.A.,19348,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Negociação das Próprias Ações para Tesouraria - Dezembro/2017,019348IPE020120180104310210-37,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=592049&numSequencia=134845&numVersao=1
2018-01-02,2018,EGIE3,ENGIE BRASIL ENERGIA S.A.,17329,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,"Operação das usinas Jaguara, Miranda e Assú V",017329IPE020120180104310206-55,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=592025&numSequencia=134821&numVersao=1
2018-01-03,2018,CPFE3,CPFL ENERGIA SA,18660,Comunicado ao Mercado,Esclarecimentos sobre questionamentos da CVM/B3,,Notícia divulgada na mídia,018660IPE030120170104310310-35,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=592142&numSequencia=134938&numVersao=1
2018-01-03,2018,ITSA4,ITAUSA S.A.,7617,Comunicado ao Mercado,Outros Comunicados Não Considerados Fatos Relevantes,,Negociação das Próprias Ações para Tesouraria - Dezembro de 2017,007617IPE030120180104310310-16,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=592152&numSequencia=134948&numVersao=1
2018-01-03,2018,PETR4,PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS,9512,Fato Relevante,,,Petrobras assina acordo para encerrar Class Action em curso nos Estados Unidos,009512IPE030120180104310213-17,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=592060&numSequencia=134856&numVersao=1
