data_publicacao,ativo,categoria,fonte_coleta,termo_busca,titulo,resumo,url,dominio,idioma,hash_titulo
2024-01-31 23:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,PPSA inicia processo para venda de 3ª carga de 500 mil barris de petróleo do campo de Sépia,PPSA inicia processo para venda de 3ª carga de 500 mil barris de petróleo do campo de Sépia,"https://www.terra.com.br/economia/ppsa-inicia-processo-para-venda-de-3-carga-de-500-mil-barris-de-petroleo-do-campo-de-sepia,e531a1cd1040e0a8a73631f40f12c2e9nxbpd8uo.html",terra.com.br,Portuguese,c04773c2981061155a431d4112eb617869cf8326fc683d8d818bd6559ba0844a
2024-01-31 23:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Petrobras recebe R$1 , 8 bi à vista referente a compensao por Sépia e Atapu","Petrobras recebe R$1 , 8 bi à vista referente a compensao por Sépia e Atapu","https://www.terra.com.br/economia/petrobras-recebe-r18-bi-a-vista-referente-a-compensacao-por-sepia-e-atapu,188a3da78cbb8d00d3ad885b083e9a8f0sqgkbgj.html",terra.com.br,Portuguese,935976e198577cc3d5dba5e11f7e61468eca0b5440748a53ab2d3b47703f6667
2024-01-31 23:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Ibovespa tem alta com disparada de Arezzo e Grupo Soma,Ibovespa tem alta com disparada de Arezzo e Grupo Soma,https://diariodocomercio.com.br/economia/ibovespa-alta-arezzo-grupo-soma/,diariodocomercio.com.br,Portuguese,350559ad9972afce0b9a064081de894ea54b71d3fecd9de5005417c76ebc69db
2024-01-31 23:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Ibovespa fecha em alta de 0 , 28 %, aos 127 mil pontos , após Fed ; Grupo Soma ( SOMA3 ) e Arezzo ( ARZZ3 ) disparam com possível fusão","Ibovespa fecha em alta de 0 , 28 %, aos 127 mil pontos , após Fed ; Grupo Soma ( SOMA3 ) e Arezzo ( ARZZ3 ) disparam com possível fusão","https://www.terra.com.br/economia/ibovespa-fecha-em-alta-de-028-aos-127-mil-pontos-apos-fed-grupo-soma-soma3-e-arezzo-arzz3-disparam-com-possivel-fusao,920df8e93356dffa705d50fcc94f4567y3x3p4pm.html",terra.com.br,Portuguese,dab5c5c58d5fcc8898c5087ff9556ac0ad95154498e828dc1ec89b4329e6889c
2024-01-31 23:45:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Ibovespa fecha em alta , mas Fed reduz fôlego em sessão com disparada de Arezzo e Grupo Soma","Ibovespa fecha em alta , mas Fed reduz fôlego em sessão com disparada de Arezzo e Grupo Soma","https://www.terra.com.br/economia/ibovespa-fecha-em-alta-mas-fed-reduz-folego-em-sessao-com-disparada-de-arezzo-e-grupo-soma,68ed2e564218a3fce4ca48a94294789e7b617y1m.html",terra.com.br,Portuguese,b74b28407965cc1fb7dd615d62c553d1e340c3d9c3ef3553f98d9592fdbe4553
2024-01-31 22:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Ibovespa sobe 0 , 28 %, a 127 , 7 mil , mas tem pior perda para janeiro desde 2016 - 31 / 01 / 2024","Ibovespa sobe 0 , 28 %, a 127 , 7 mil , mas tem pior perda para janeiro desde 2016 - 31 / 01 / 2024",https://www.dgabc.com.br/Noticia/4098823/ibovespa-sobe-0-28-a-127-7-mil-mas-tem-pior-perda-para-janeiro-desde-2016,dgabc.com.br,Portuguese,ef0f201bb004277bace74bb26cd069085b405e2d9678a19404ecf550b2a4eb73
2024-01-31 22:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Ibovespa sobe 0 , 28 %, a 127 , 7 mil , mas tem pior perda para janeiro desde 2016","Ibovespa sobe 0 , 28 %, a 127 , 7 mil , mas tem pior perda para janeiro desde 2016",https://www.bemparana.com.br/noticias/economia/ibovespa-sobe-028-a-1277-mil-mas-tem-pior-perda-para-janeiro-desde-2016/,bemparana.com.br,Portuguese,38a963f9574ad695524e9ceb0cf63aae24f40d51eafe43fdb1e9066aac7f103a
2024-01-31 22:00:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Petrobras encerra nesta quarta inscries para concurso público com 6 . 412 vagas,Petrobras encerra nesta quarta inscries para concurso público com 6 . 412 vagas,https://www.bonde.com.br/bondenews/petrobras-encerra-nesta-quarta-inscricoes-para-concurso-publico-com-6412-vagas,bonde.com.br,Portuguese,188e0f42f64b4edede01835d552c5a15257383a592454a10c7c29349ef0d1220
2024-01-31 21:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,"Lula diz que crime organizado está no Judiciário , | Rany Veloso","Lula diz que crime organizado está no Judiciário , | Rany Veloso",https://www.meionorte.com/colunas/diretodebrasilia/lula-diz-que-crime-organizado-esta-na-imprensa-politica-judiciario-365987,meionorte.com,Portuguese,58e86f165451d24962b254f33b5a44e090318e7bf300ba2eb0204712927290cb
2024-01-31 21:15:00,PETR4,CAT1_Empresa,GDELT,Petrobras,Barbatuques estreia tour no Recife neste final de semana,Barbatuques estreia tour no Recife neste final de semana,https://www.pernambuco.com/noticia/divirtase/2024/01/barbatuques-estreia-tour-por-recife-neste-final-de-semana.html,pernambuco.com,Portuguese,e50e17b8fcc87f8b55177904124142062ae539b3e71321a9b3e5e4d1cf4862e2
