indice,Data_Publicacao,data_gmt,Data_Pregao_Atribuido,Categoria,Portal,Fonte,Noticia,Resumo,URL,Idioma,texto
N0000083,2018-01-10 18:57:57,2018-01-10T20:57:57,2018-01-11,CAT1_Empresa,Exame,WP_Exame,Ibovespa dá sequência a ajuste e cai pelo segundo dia,"Agentes de mercado mantêm um viés positivo para o mercado acionário, avaliando o ajuste apenas como temporário",https://exame.com/invest/mercados/ibovespa-da-sequencia-a-ajuste-e-cai-pelo-segundo-dia/,pt,"ibovespa dá sequência a ajuste e cai pelo segundo dia || agentes de mercado mantêm um viés positivo para o mercado acionário, avaliando o ajuste apenas como temporário"
N0000100,2018-01-11 21:39:18,2018-01-11T23:39:18,2018-01-12,CAT2_Mercado_Petroleo,Exame,WP_Exame,S&P: atraso em reforma e incerteza política são fraquezas do país,A agência de risco Standard & Poor's rebaixou a nota soberana do país de BB para BB- e revisou a perspectiva de negativa para estável,https://exame.com/economia/sp-atraso-em-reforma-e-incerteza-politica-sao-fraquezas-do-pais/,pt,s&p: atraso em reforma e incerteza política são fraquezas do país || a agência de risco standard & poor's rebaixou a nota soberana do país de bb para bb- e revisou a perspectiva de negativa para estável
N0000105,2018-01-12 17:22:00,2018-01-12T20:22:00,2018-01-15,CAT2_Mercado_Petroleo,InfoMoney,WP_InfoMoney,Até onde vai o rali? Mercado americano tem melhor começo de ano desde 2003,"Para uma analista, a incerteza sobre o atual rali pode ser bom para o mercado, porque “atenua as expectativas”",https://www.infomoney.com.br/mercados/ate-onde-vai-o-rali-mercado-americano-tem-melhor-comeco-de-ano-desde-2003/,pt,"até onde vai o rali? mercado americano tem melhor começo de ano desde 2003 || para uma analista, a incerteza sobre o atual rali pode ser bom para o mercado, porque “atenua as expectativas”"
N0000119,2018-01-15 18:50:01,2018-01-15T20:50:01,2018-01-16,CAT1_Empresa,Exame,WP_Exame,Ibovespa renova máximas em dia de feriado nos EUA,"O rali tem sido sustentado pela perspectiva positiva para a economia mundial, assim como diante da visão favorável para o cenário local",https://exame.com/invest/mercados/ibovespa-renova-maximas-em-dia-de-feriado-nos-eua/,pt,"ibovespa renova máximas em dia de feriado nos eua || o rali tem sido sustentado pela perspectiva positiva para a economia mundial, assim como diante da visão favorável para o cenário local"
N0000261,2018-01-29 20:36:41,2018-01-29T22:36:41,2018-01-30,CAT1_Empresa,Exame,WP_Exame,"Petrobras pagará R$1,7 bi com adesão a parcelamento via Repetro","A estatal disse que a decisão terá um impacto negativo no resultado do 4° trimestre de 2017 de aproximadamente 1,1 bilhão de reais",https://exame.com/economia/petrobras-pagara-r17-bi-com-adesao-a-parcelamento-via-repetro/,pt,"petrobras pagará r$1,7 bi com adesão a parcelamento via repetro || a estatal disse que a decisão terá um impacto negativo no resultado do 4° trimestre de 2017 de aproximadamente 1,1 bilhão de reais"
N0000443,2018-02-14 18:20:23,2018-02-14T20:20:23,2018-02-15,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,Siderúrgicas turbinam alta de 3% do Ibovespa na volta do Carnaval,"A volta do feriado de Carnaval foi positiva para a Bolsa brasileira nesta quarta-feira (14). Embalado pelo comportamento do mercado financeiro no exterior, que operou normalmente nos dois últimos dias e se recuperou do tombo da semana anterior, o Ibovespa fechou em alta de 3,27%, aos 83.542 pontos. No câmbio, o dólar caiu 2,27% frente […]",https://www.moneytimes.com.br/siderurgicas-turbinam-alta-de-3-do-ibovespa-na-volta-do-carnaval/,pt,"siderúrgicas turbinam alta de 3% do ibovespa na volta do carnaval || a volta do feriado de carnaval foi positiva para a bolsa brasileira nesta quarta-feira (14). embalado pelo comportamento do mercado financeiro no exterior, que operou normalmente nos dois últimos dias e se recuperou do tombo da semana anterior, o ibovespa fechou em alta de 3,27%, aos 83.542 pontos. no câmbio, o dólar caiu 2,27% frente […]"
N0000693,2018-03-07 22:24:14,2018-03-08T01:24:14,2018-03-08,CAT3_Geopolitica,MoneyTimes,WP_MoneyTimes,"“Guerra comercial é muito negativa”, diz Meirelles sobre política de Trump","O ministro da Fazenda, Henrique Meirelles, criticou hoje (7) a decisão do presidente dos Estados Unidos, Donald Trump, de aumentar as tarifas de importação de aço e de alumínio no país. Segundo Meirelles, a proposta “prejudica a todos e inclusive a indústria americana, porque teria que pagar mais pelo aço”, e acrescentou: “é negativo para […]",https://www.moneytimes.com.br/guerra-comercial-e-muito-negativa-diz-meirelles-sobre-politica-de-trump/,pt,"“guerra comercial é muito negativa”, diz meirelles sobre política de trump || o ministro da fazenda, henrique meirelles, criticou hoje (7) a decisão do presidente dos estados unidos, donald trump, de aumentar as tarifas de importação de aço e de alumínio no país. segundo meirelles, a proposta “prejudica a todos e inclusive a indústria americana, porque teria que pagar mais pelo aço”, e acrescentou: “é negativo para […]"
N0000710,2018-03-08 22:04:57,2018-03-09T01:04:57,2018-03-09,CAT3_Geopolitica,Poder360,WP_Poder360,Meirelles: sobretaxa dos EUA reforça que Brasil precisa de outros parceiros,"‘Estamos em negociação com UE’
Protecionismo é negativo para todos",https://www.poder360.com.br/economia/meirelles-sobretaxa-dos-eua-reforca-que-brasil-precisa-de-outros-parceiros/,pt,"meirelles: sobretaxa dos eua reforça que brasil precisa de outros parceiros || ‘estamos em negociação com ue’
protecionismo é negativo para todos"
N0000785,2018-03-15 17:56:10,2018-03-15T20:56:10,2018-03-16,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,BB Investimentos deixa de recomendar compra das ações da Petrobras,"O BB Investimentos cortou a recomendação para as ações da Petrobras (PETR3; PETR4) de outperform (desempenho acima da média do mercado), o equivalente à compra, para market perform (desempenho em linha com a média do mercado), mas elevou o preço-alvo de R$ 18,70 para R$ 23,50 com o objetivo para dezembro de 2018. O analista […]",https://www.moneytimes.com.br/bb-investimentos-deixa-de-recomendar-compra-das-acoes-da-petrobras/,pt,"bb investimentos deixa de recomendar compra das ações da petrobras || o bb investimentos cortou a recomendação para as ações da petrobras (petr3; petr4) de outperform (desempenho acima da média do mercado), o equivalente à compra, para market perform (desempenho em linha com a média do mercado), mas elevou o preço-alvo de r$ 18,70 para r$ 23,50 com o objetivo para dezembro de 2018. o analista […]"
N0000808,2018-03-16 21:54:25,2018-03-17T00:54:25,2018-03-19,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,Santander vê Ibovespa a 97 mil pontos e indica Top 5 para 2018,"Os estrategistas para América Latina do Santander elevaram o preço-alvo para o Ibovespa em dezembro de 2018 de 90 mil pontos para 97 mil pontos, revelou o banco nesta sexta-feira (16). O principal argumento para a revisão foi a nova projeção para os lucros das empresas inseridas no índice. Considerando o patamar de fechamento atual, […]",https://www.moneytimes.com.br/santander-ve-ibovespa-97-mil-pontos-e-indica-top-5-para-2018/,pt,"santander vê ibovespa a 97 mil pontos e indica top 5 para 2018 || os estrategistas para américa latina do santander elevaram o preço-alvo para o ibovespa em dezembro de 2018 de 90 mil pontos para 97 mil pontos, revelou o banco nesta sexta-feira (16). o principal argumento para a revisão foi a nova projeção para os lucros das empresas inseridas no índice. considerando o patamar de fechamento atual, […]"
