indice,Data_Publicacao,data_gmt,Data_Pregao_Atribuido,Categoria,Portal,Fonte,Noticia,Resumo,URL,Idioma,texto
N0000785,2018-03-15 17:56:10,2018-03-15T20:56:10,2018-03-16,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,BB Investimentos deixa de recomendar compra das ações da Petrobras,"O BB Investimentos cortou a recomendação para as ações da Petrobras (PETR3; PETR4) de outperform (desempenho acima da média do mercado), o equivalente à compra, para market perform (desempenho em linha com a média do mercado), mas elevou o preço-alvo de R$ 18,70 para R$ 23,50 com o objetivo para dezembro de 2018. O analista […]",https://www.moneytimes.com.br/bb-investimentos-deixa-de-recomendar-compra-das-acoes-da-petrobras/,pt,"BB Investimentos deixa de recomendar compra das ações da Petrobras || O BB Investimentos cortou a recomendação para as ações da Petrobras (PETR3; PETR4) de outperform (desempenho acima da média do mercado), o equivalente à compra, para market perform (desempenho em linha com a média do mercado), mas elevou o preço-alvo de R$ 18,70 para R$ 23,50 com o objetivo para dezembro de 2018. O analista […]"
N0001074,2018-04-09 21:11:04,2018-04-10T00:11:04,2018-04-10,CAT1_Empresa,Exame,WP_Exame,"Moody's eleva rating da Petrobras, com perspectiva estável","Medida foi reflexo da decisão da agência, que horas antes havia anunciado a melhora da perspectiva do rating soberano do Brasil, de negativa para estável",https://exame.com/economia/moodys-eleva-rating-da-petrobras-com-perspectiva-estavel/,pt,"Moody's eleva rating da Petrobras, com perspectiva estável || Medida foi reflexo da decisão da agência, que horas antes havia anunciado a melhora da perspectiva do rating soberano do Brasil, de negativa para estável"
N0002063,2018-06-01 18:23:03,2018-06-01T21:23:03,2018-06-04,CAT1_Empresa,Exame,WP_Exame,Fitch: possível aumento de interferência política na Petrobras é negativo,"Agência afirma que demissão de Parente é negativo para o crédito da companhia, pois poderia tirar dos trilhos suas metas de desalavancagem",https://exame.com/negocios/fitch-possivel-aumento-de-interferencia-politica-na-petrobras-e-negativo/,pt,"Fitch: possível aumento de interferência política na Petrobras é negativo || Agência afirma que demissão de Parente é negativo para o crédito da companhia, pois poderia tirar dos trilhos suas metas de desalavancagem"
N0003863,2018-10-28 22:54:54,2018-10-29T01:54:54,2018-10-29,CAT1_Empresa,Exame,WP_Exame,XP Investimentos eleva recomendação de Petrobras para 'compra',A percepção de menor intervenção do governo na estatal tem como base afirmações do presidente eleito de que manteria repasses de preços,https://exame.com/invest/mercados/xp-investimentos-eleva-recomendacao-de-petrobras-para-compra/,pt,XP Investimentos eleva recomendação de Petrobras para 'compra' || A percepção de menor intervenção do governo na estatal tem como base afirmações do presidente eleito de que manteria repasses de preços
N0004660,2019-01-08 19:02:51,2019-01-08T21:02:51,2019-01-09,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"Bradesco BBI: US$ 14 bi da Cessão Onerosa elevaria preço-alvo da Petrobras em R$ 2,15","Segundo cálculos da equipe do Bradesco BBI, um possível pagamento da União à Petrobras (PETR4) de US$ 14 bilhões, que cedeu para a estatal o direito de explorar seis grandes blocos de petróleo na camada do pré-sal, pode resultar em um aumento de R$ 2,15 no preço-alvo das ações. O valor atual é estipulado em R$ […]",https://www.moneytimes.com.br/bradesco-bbi-us-14-bi-da-cessao-onerosa-elevaria-preco-alvo-da-petrobras-em-r-215/,pt,"Bradesco BBI: US$ 14 bi da Cessão Onerosa elevaria preço-alvo da Petrobras em R$ 2,15 || Segundo cálculos da equipe do Bradesco BBI, um possível pagamento da União à Petrobras (PETR4) de US$ 14 bilhões, que cedeu para a estatal o direito de explorar seis grandes blocos de petróleo na camada do pré-sal, pode resultar em um aumento de R$ 2,15 no preço-alvo das ações. O valor atual é estipulado em R$ […]"
N0005292,2019-02-27 22:04:25,2019-02-28T01:04:25,2019-02-28,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"Resultado da Petrobras mostra que o melhor ainda está por vir, diz XP","A XP Investimentos avalia que o resultado do quarto trimestre de 2018 da Petrobras (PETR3; PETR4) foi positivo, mas alerta que o melhor ainda está por vir, mostra um relatório enviado a clientes nesta quarta-feira (27). A recomendação de compra foi reiterada, com preço-alvo de R$ 31 para preferencial e R$ 30 para ordinária. 6 passos para […]",https://www.moneytimes.com.br/resultado-da-petrobras-mostra-que-o-melhor-ainda-esta-por-vir-diz-xp/,pt,"Resultado da Petrobras mostra que o melhor ainda está por vir, diz XP || A XP Investimentos avalia que o resultado do quarto trimestre de 2018 da Petrobras (PETR3; PETR4) foi positivo, mas alerta que o melhor ainda está por vir, mostra um relatório enviado a clientes nesta quarta-feira (27). A recomendação de compra foi reiterada, com preço-alvo de R$ 31 para preferencial e R$ 30 para ordinária. 6 passos para […]"
N0010794,2020-02-19 17:53:22,2020-02-19T20:53:22,2020-02-20,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"Ação da Petrobras está com um bom ponto de entrada, indica Banco Safra","As ações da Petrobras (PETR3;PETR4) estão com um bom ponto de entrada, avalia o Banco Safra em um relatório enviado a clientes. Os analistas Kaique Vasconcellos e Daniel Travitzky elevaram o preço-alvo para os papéis da estatal e reforçaram a recomendação de compra. A estimativa para os papéis ordinários PETR3 passou de R$ 36,30 para […]",https://www.moneytimes.com.br/acao-da-petrobras-esta-com-um-bom-ponto-de-entrada-indica-banco-safra/,pt,"Ação da Petrobras está com um bom ponto de entrada, indica Banco Safra || As ações da Petrobras (PETR3;PETR4) estão com um bom ponto de entrada, avalia o Banco Safra em um relatório enviado a clientes. Os analistas Kaique Vasconcellos e Daniel Travitzky elevaram o preço-alvo para os papéis da estatal e reforçaram a recomendação de compra. A estimativa para os papéis ordinários PETR3 passou de R$ 36,30 para […]"
N0011281,2020-03-18 18:30:07,2020-03-18T21:30:07,2020-03-19,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,"Ação da Petrobras ainda está atraente, avalia Itaú BBA","As ações da Petrobras (PETR4) ainda estão atraentes, a despeito das projeções pessimistas para os preços do petróleo, avalia o Itaú BBA em um relatório enviado a clientes nesta quarta-feira (18). O analista André Hachem cortou o preço-alvo de R$ 40 para R$ 29, mas manteve a recomendação outperform (desempenho acima da média do mercado). […]",https://www.moneytimes.com.br/acao-da-petrobras-ainda-esta-atraente-avalia-itau-bba/,pt,"Ação da Petrobras ainda está atraente, avalia Itaú BBA || As ações da Petrobras (PETR4) ainda estão atraentes, a despeito das projeções pessimistas para os preços do petróleo, avalia o Itaú BBA em um relatório enviado a clientes nesta quarta-feira (18). O analista André Hachem cortou o preço-alvo de R$ 40 para R$ 29, mas manteve a recomendação outperform (desempenho acima da média do mercado). […]"
N0011938,2020-04-22 19:00:43,2020-04-22T22:00:43,2020-04-23,CAT1_Empresa,InfoMoney,WP_InfoMoney,"Crise no petróleo pressiona Petrobras, mas empresa está bem preparada para enfrentar queda do preço, dizem analistas","Bradesco BBI diz que estatal “tem um mercado interno mais forte para distribuir sua produção”, enquanto UBS manteve recomendação de compra",https://www.infomoney.com.br/mercados/crise-no-petroleo-pressiona-petrobras-mas-empresa-esta-bem-preparada-para-superar-queda-do-preco-dizem-analistas/,pt,"Crise no petróleo pressiona Petrobras, mas empresa está bem preparada para enfrentar queda do preço, dizem analistas || Bradesco BBI diz que estatal “tem um mercado interno mais forte para distribuir sua produção”, enquanto UBS manteve recomendação de compra"
N0012665,2020-06-04 19:56:43,2020-06-04T22:56:43,2020-06-05,CAT1_Empresa,MoneyTimes,WP_MoneyTimes,Guide: reajuste do preço do GLP é positivo para a Petrobras,"A Guide Investimentos avaliou, nesta quinta-feira (4), que o reajuste de 5% no preço médio do gás liquefeito de petróleo (GLP) é positivo para a Petrobras (PETR4). O reajuste, que teve início hoje, fará com que o valor seja equivalente a R$ 24,08 por botijão de 13 quilos (kg). No acumulado do ano, a redução […]",https://www.moneytimes.com.br/guide-reajuste-do-preco-do-glp-e-positivo-para-a-petrobras/,pt,"Guide: reajuste do preço do GLP é positivo para a Petrobras || A Guide Investimentos avaliou, nesta quinta-feira (4), que o reajuste de 5% no preço médio do gás liquefeito de petróleo (GLP) é positivo para a Petrobras (PETR4). O reajuste, que teve início hoje, fará com que o valor seja equivalente a R$ 24,08 por botijão de 13 quilos (kg). No acumulado do ano, a redução […]"
