Data_Publicacao,Noticia,Rotulo_Especialista,Evidencia,Obs
2020-03-09,Ativos da Petrobras desabam na Nyse com petróleo e Bradesco BBI corta recomendação; balanço de Hypera e mais destaques,Duvidoso,corta recomendaç,verbo de remoção na janela
2021-02-22,J.P.Morgan corta recomendação para títulos de dívida da Petrobras,Duvidoso,corta recomendaç,verbo de remoção na janela
2021-11-19,Bradesco BBI coloca Petrobras (PETR4) como ação preferida do setor – pelo menos até aproximação das eleições,Duvidoso,ação preferida,verbo de remoção na janela
2022-08-30,Petrobras (PETR4): Itaú BBA corta recomendação e preço-alvo para ação após forte alta e com mudanças macroeconômicas,Duvidoso,corta recomendaç,verbo de remoção na janela
2022-10-17,Petrobras (PETR3;PETR4): Credit Suisse corta recomendação para ADR e entra no modo “esperar para ver” resultado da eleição,Duvidoso,corta recomendaç,verbo de remoção na janela
2022-11-22,"Petrobras (PETR4): UBS faz duplo rebaixamento, recomenda venda e corta preço-alvo em 53%; ação chega a cair 5%, mas ameniza",Duvidoso,corta preço-alvo,verbo de remoção na janela
2022-12-05,5 ações que pagam bons dividendos para investir em dezembro; EGIE3 e BEEF3 substituem PETR4 e VBBR3,Duvidoso,preferida,verbo de remoção na janela
2022-12-13,"Petrobras (PETR4): Bradesco BBI rebaixa recomendação para neutra e corta preço-alvo em 50%, com fluxo contínuo de notícias ruins",Duvidoso,rebaixa recomendaç,verbo de remoção na janela
2022-12-20,"Petrobras (PETR4): Morgan Stanley corta preço-alvo de ADR, mas olha o passado para não recomendar venda do ativo",Duvidoso,corta preço-alvo,verbo de remoção na janela
2023-07-25,"JPMorgan corta projeção para o petróleo e revisa preço-alvo para Petrobras (PETR4), PRIO (PRIO3) e mais companhias",Duvidoso,corta projeç,verbo de remoção na janela
2023-08-04,"Petrobras (PETR4) no “novo normal”? Dividendos surpreendem, mas JPMorgan corta recomendação e ações caem forte após balanço",Duvidoso,corta recomendaç,verbo de remoção na janela
2023-08-10,Petrobras (PETR4): Citi aumenta ceticismo e corta recomendação de ADRs da estatal de compra para neutra,Duvidoso,corta recomendaç,verbo de remoção na janela
2025-04-28,Santander corta PRIO e PetroReconcavo para neutra e mantém Petrobras como preferida,Duvidoso,preferida,verbo de remoção na janela
2021-02-22,Morgan Stanley corta recomendação para títulos do Brasil após troca na Petrobras,Duvidoso,corta recomendaç,verbo de remoção na janela
2025-03-10,"É hora de comprar Petrobras (PETR4), diz BTG: “Queda recente foi exagerada”",Duvidoso,acima do esperado,verbo de remoção na janela
2018-03-15,BB Investimentos deixa de recomendar compra das ações da Petrobras,Duvidoso,recomendar compra,verbo de remoção na janela
2018-03-19,XP atualiza Top Picks semanal com Metal Leve e BB no lugar de Petrobras e Bradesco,Duvidoso,top pick,verbo de remoção na janela
2018-06-01,Santander deixa de recomendar compra para ação da Petrobras,Duvidoso,recomendação de compra,verbo de remoção na janela
2018-09-13,Planner corta estimativas para ação da Petrobras,Duvidoso,corta estimativ,verbo de remoção na janela
2018-11-12,Guide atualiza carteira semanal com Braskem e Petrobras no lugar de B3 e Vale,Duvidoso,foi negativ,verbo de remoção na janela
2019-08-13,Petrobras: BTG corta preço-alvo para ações,Duvidoso,corta preço-alvo,verbo de remoção na janela
2019-09-04,Itaú BBA tira Petrobras de carteira Top Pick e escolhe banco,Duvidoso,top pick,verbo de remoção na janela
2020-03-25,"Petrobras: Safra corta projeções, mas ainda vê alta de 80%",Duvidoso,corta projeç,verbo de remoção na janela
2021-01-05,"NotreDame decola e cai fora da carteira da Planner, pois Petrobras promete em janeiro",Duvidoso,positiva para,verbo de remoção na janela
2021-02-08,Bradesco BBI corta recomendação de Petrobras para ‘neutra’: “o dilema do diesel está de volta”,Duvidoso,corta recomendaç,verbo de remoção na janela
2022-03-30,Petrobras (PETR4): XP eleva preço-alvo para a ação e prevê ‘alto rendimento de dividendos’,Duvidoso,eleva preço-alvo,verbo de remoção na janela
2022-05-25,"Petrobras (PETR4): Mesmo liberal, Caio de Andrade pode mudar política de preços",Duvidoso,é negativ,verbo de remoção na janela
2022-07-08,XP tira Petrobras (PETR4) e mais duas ações da carteira semanal; veja os papéis que entraram,Duvidoso,top pick,verbo de remoção na janela
2022-10-17,Petrobras (PETR4): Credit Suisse rebaixa ação e cita 3 preocupações com Lula ou Bolsonaro,Duvidoso,outperform,verbo de remoção na janela
2022-12-20,Petrobras (PETR4): Goldman Sachs corta preço-alvo da ação,Duvidoso,corta preço-alvo,verbo de remoção na janela
2023-03-08,Banco exclui petroleiras júniores do portfólio e está negativo com Petrobras (PETR4); entenda,Duvidoso,está negativ,verbo de remoção na janela
2023-05-11,"Dividendos: Petrobras (PETR4) deve pagar R$ 2 por ação, diz BofA; banco corta preço-alvo às vésperas do 1T23",Duvidoso,corta preço-alvo,verbo de remoção na janela
2023-05-27,"Petrobras (PETR4): Ação pode encolher 18% em meses, alerta bancão gringo",Ambiguo,elevar o preço-alvo,sinais contrários
2024-07-03,"Petrobras (PETR4): CEO conta planos para a companhia e dividendos parecem seguros; veja avaliação do BTG, Goldman e XP",Duvidoso,são positiv,verbo de remoção na janela
2025-10-27,Petrobras (PETR4): Por que a XP reduziu o preço-alvo para as ações da estatal; é hora de comprar?,Ambiguo,reduziu o preço-alvo,sinais contrários
2021-02-22,BTG rebaixa avaliação para ações da Petrobras após troca de comando,Duvidoso,recomendação para compra,verbo de remoção na janela
2021-02-23,Banco suíço UBS vai contra a maré e recomenda comprar ações da Petrobras,Duvidoso,recomenda compra,verbo de remoção na janela
