Data_Publicacao,Portal,Casa,Noticia,Resumo,Rotulo_Especialista,Evidencia,Sentimento_Rotulo,Sentimento_Indice,Acertou,URL
2018-01-29,MoneyTimes,credit suisse,Credit Suisse eleva preço-alvo para Petrobras,"O Credit Suisse reiterou a recomendação de desempenho acima da média (outperform) para os papéis da Petrobras (PETR3; PETR4) e elevou o preço-alvo para as ADRs de US$12,40 para US$ 15, mostra um relatório enviado a clientes nesta segunda-feira. Gostou desta notícia? Receba nosso conteúdo gratuito “Apesar da impressionante disparada até agora (preços de ações […]",Positive,eleva preço-alvo,Positive,0.7575230002403259,True,https://www.moneytimes.com.br/credit-suisse-eleva-preco-alvo-para-petrobras/
2018-02-01,InfoMoney,bb investimentos,BB Investimentos recomenda Petrobras e outras 9 ações para comprar em fevereiro,A opção foi por modificar praticamente toda a seleção de investimentos,Positive,para compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/bb-investimentos-recomenda-petrobras-e-outras-9-acoes-para-comprar-em-fevereiro/
2018-02-26,InfoMoney,xp,"Petrobras, Klabin e outras 3 ações para comprar esta semana, segundo a XP","Carteira superou o Ibovespa na semana e apresentou ganhos de 3,44%",Positive,para compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/petrobras-klabin-e-outras-3-acoes-para-comprar-esta-semana-segundo-a-xp/
2018-03-11,MoneyTimes,santander,Petrobras ainda perde batalha para combustível importado,"Apesar da nova política de preços implementada pela Petrobras (PETR3; PETR4) em junho do ano passado, com o objetivo de enfrentar a concorrência externa, as importações de combustíveis continuam acima do esperado, conforme revelam os últimos dados publicados. Gostou desta notícia? Receba nosso conteúdo gratuito Segundo uma análise do Santander, com base no publicado pela […]",Positive,acima do esperado,Negative,-0.8286212682723999,False,https://www.moneytimes.com.br/petrobras-ainda-perde-batalha-para-combustivel-importado/
2018-03-12,MoneyTimes,credit suisse,Credit Suisse tem aposta “acima da média” para BR Distribuidora; ação sobe,"O Credit Suisse iniciou cobertura da ação da BR Distribuidora (BRDT3) com recomendação outperform (expectativa de desempenho acima da média do mercado) e estimando preço-alvo em 12 meses de R$ 27, segundo relatório assinado por Regis Cardoso. Gostou desta notícia? Receba nosso conteúdo gratuito Quem compra hoje o papel da subsidiária da Petrobras no segmento […]",Positive,outperform,Positive,0.640083372592926,True,https://www.moneytimes.com.br/credit-suisse-tem-aposta-acima-da-media-para-br-distribuidora-acao-sobe/
2018-03-19,MoneyTimes,xp,XP atualiza Top Picks semanal com Metal Leve e BB no lugar de Petrobras e Bradesco,"Investing.com – A XP Investimentos divulgou nesta segunda-feira, no site da Infomoney, a carteira semanal de Top Picks elaborada pelo analista técnico Gilberto Coelho. Destaque para a inclusão de Mahle Metal Leve (SA:LEVE3) e Banco do Brasil (SA:BBAS3), com a saída de Petrobras (SA:PETR4) e Bradesco (SA:BBDC4) do portfólio. Agora, a Top Picks da XPI […]",Positive,top pick,Neutral,0.0,False,https://www.moneytimes.com.br/xp-atualiza-top-picks-semanal-com-metal-leve-e-bb-no-lugar-de-petrobras-e-bradesco/
2018-03-28,InfoMoney,itaú bba,Petrobras segue top pick do Itaú BBA; balanços de Sabesp e Marfrig e mais destaques do mercado,Confira os destaques do noticiário corporativo desta quarta-feira (28),Positive,top pick,Neutral,0.0,False,https://www.infomoney.com.br/mercados/petrobras-segue-top-pick-do-itau-bba-balancos-de-sabesp-e-marfrig-e-mais-destaques-do-mercado/
2018-04-09,Exame,moody's,"Moody's eleva rating da Petrobras, com perspectiva estável","Medida foi reflexo da decisão da agência, que horas antes havia anunciado a melhora da perspectiva do rating soberano do Brasil, de negativa para estável",Positive,eleva rating,Positive,0.8185930848121643,True,https://exame.com/economia/moodys-eleva-rating-da-petrobras-com-perspectiva-estavel/
2018-04-09,InfoMoney,analista,Analista recomenda compra de blue chip e estrutura de opções com Petrobras para esta semana,"Visão Técnica recebeu o analista técnico da Rico Investimentos, Jeferson Silva, mais conhecido como Jota Trader",Positive,recomenda compra,Neutral,0.0,False,https://www.infomoney.com.br/mercados/analista-recomenda-compra-de-blue-chip-e-estrutura-de-opcoes-com-petrobras-para-esta-semana/
2018-04-16,InfoMoney,xp,"Petrobras, Usiminas e outras 3 ações para comprar esta semana, segundo a XP",Giba optou por incluir dois novos ativos na seleção de investimentos para a semana,Positive,para compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/petrobras-usiminas-e-outras-3-acoes-para-comprar-esta-semana-segundo-a-xp/
2018-05-01,InfoMoney,s&p,Índice de ADRs brasileiro recua 1% pressionado por Petrobras; Itaú “de lado” à espera pelo resultado,Dow Jones e S&P 500 caem diante da alta dos Treasuries; atividade industrial nos EUA decepciona,Negative,decepcion,Negative,-0.8325393199920654,True,https://www.infomoney.com.br/mercados/indice-de-adrs-brasileiro-recua-1-pressionado-por-petrobras-itau-de-lado-a-espera-pelo-resultado/
2018-05-03,InfoMoney,fitch,Petrobras deve vender ações da Braskem na bolsa; Fitch eleva rating da Usiminas e mais notícias no radar,Confira os principais destaques do noticiário corporativo da noite desta quinta-feira (3),Positive,eleva rating,Neutral,0.0,False,https://www.infomoney.com.br/mercados/petrobras-deve-vender-acoes-da-braskem-na-bolsa-fitch-eleva-rating-da-usiminas-e-mais-noticias-no-radar/
2018-05-08,InfoMoney,santander,Santander Corretora recomenda Petrobras e outras 8 ações para comprar em maio,Equipe de análise optou por incluir um novo ativo na seleção de investimentos,Positive,para compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/santander-corretora-recomenda-petrobras-e-outras-8-acoes-para-comprar-em-maio/
2018-05-28,InfoMoney,analista,Por que o melhor analista do Brasil recomendou comprar as ações da Petrobras?,"Giba, que afirma que depois de ciclos de queda as ações tendem a apresentar forte recuperação, vê correção da Petrobras em 50%",Positive,recomendou compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/por-que-o-melhor-analista-do-brasil-recomendou-comprar-as-acoes-da-petrobras/
2018-05-28,InfoMoney,xp,XP muda toda seleção de investimentos e recomenda compra de Petrobras para esta semana,"A Carteira Top Picks, elaborada pelo analista Giba, é divulgada toda segunda-feira",Positive,recomenda compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/xp-muda-toda-selecao-de-investimentos-e-recomenda-compra-de-petrobras-para-esta-semana/
2018-05-30,MoneyTimes,btg,"Ação da Petrobras está atraente neste nível, diz BTG Pactual","Segundo o BTG Pactual, com a queda de 25% desde o início da greve e 16% no mês, as ações da Petrobras (PETR4) parecem interessantes. “E enquanto a empresa está absorvendo parte dos custos para acabar com a greve, o governo é o que está à frente da maior parte dela, com o objetivo de […]",Positive,está atraent,Positive,0.7075693011283875,True,https://www.moneytimes.com.br/acao-da-petrobras-esta-atraente-neste-nivel-diz-btg-pactual/
2018-06-01,MoneyTimes,guide,Guide Investimentos retira Petrobras de carteira para junho,"A Guide Investimentos deixou de recomendar as ações da Petrobras (PETR4) em sua carteira para junho, revela um relatório enviado a clientes. A equipe de análise também retirou os papéis da Equatorial (EQTL3), Marcopolo (POMO4) e Usiminas (USIM5). As estreantes são Braskem (BRKM5), IRB (IRBR3), Tupy (TUPY3) e Telefônica (VIVT4). “Optamos por retirar os papéis […]",Negative,deixou de recomendar,Negative,-0.8186923265457153,True,https://www.moneytimes.com.br/guide-investimentos-retira-petrobras-de-carteira-para-junho/
2018-06-01,MoneyTimes,credit suisse,"Petrobras: Saída de Parente é muito negativa, avalia Credit Suisse","Para o Credit Suisse, a demissão de Pedro Parente do cargo de CEO da Petrobras (PETR4) é “muito negativa”, mostra um relatório enviado a clientes nesta sexta-feira (1) e assinado por Regis Cardoso. “Muito negativo. Pedro Parente mencionou em confissões recentes que partiria caso o governo interferisse na administração da empresa, particularmente na política de […]",Negative,é muito negativ,Negative,-0.8171816468238831,True,https://www.moneytimes.com.br/petrobras-saida-de-parente-e-muito-negativa-avalia-credit-suisse/
2018-06-01,Exame,fitch,Fitch: possível aumento de interferência política na Petrobras é negativo,"Agência afirma que demissão de Parente é negativo para o crédito da companhia, pois poderia tirar dos trilhos suas metas de desalavancagem",Negative,é negativ,Negative,-0.8427046537399292,True,https://exame.com/negocios/fitch-possivel-aumento-de-interferencia-politica-na-petrobras-e-negativo/
2018-06-04,InfoMoney,xp,XP reformula carteira após perdas em Petrobras e recomenda 5 ações para comprar nesta semana,"Com relação à abertura desta segunda-feira (4), os papéis de Petrobras caíram 9,95% na última semana",Positive,para compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/xp-reformula-carteira-apos-perdas-em-petrobras-e-recomenda-5-acoes-para-comprar-nesta-semana/
2018-06-04,MoneyTimes,itaú bba,"O show da Petrobras vai continuar, avalia Itaú BBA","Em um relatório enviado a clientes nesta segunda-feira, com o nome de “O show deve continuar”, o Itaú BBA reforça a sua visão positiva sobre as ações da Petrobras (PETR4). O preço justo de R$ 27 para o final de 2018 e a recomendação Market Perform (desempenho em linha com a média do mercado), que […]",Positive,são positiv,Neutral,0.0,False,https://www.moneytimes.com.br/o-show-da-petrobras-vai-continuar-avalia-itau-bba/
2018-06-06,InfoMoney,santander,Santander Corretora tira Petrobras da carteira e recomenda 8 ações para comprar neste mês,"Na última semana, as ações de PETR3 afundaram 18,02%",Positive,para compra,Negative,-0.7643041014671326,False,https://www.infomoney.com.br/onde-investir/santander-corretora-tira-petrobras-da-carteira-e-recomenda-8-acoes-para-comprar-neste-mes/
2018-07-17,MoneyTimes,analistas,Benndorf atualiza carteira de julho recomendando compra de Klabin e Linx,"Por Investing.com – A Benndorf Research atualizou sua carteira recomenda de ações para julho substituindo os ativos de Petrobras (PETR4) e Embraer (EMBR3) por Linx (LINX3) e Klabin (KLBN11), após atingirem o stop de valorização estipulado pelos analistas da consultoria. O relatório assinado por Victor Benndorf Silva justifica a venda de Embraer para a realização […]",Positive,recomendando compra,Neutral,0.0,False,https://www.moneytimes.com.br/benndorf-atualiza-carteira-de-julho-recomendando-compra-de-klabin-e-linx/
2018-08-01,MoneyTimes,guide,"Guide atualiza carteira de agosto apostando em Gerdau, Petrobras e Cemig","Por Investing.com – A Guide Investimentos anunciou nesta quarta-feira três trocas em sua carteira recomendada de ações para o mês de agosto, passando a apostar em Gerdau (GGBR4), Petrobras (PETR4) e Cemig (CMIG4), com a saídas de Embraer (EMBR3), Lojas Renner (LREN3) e Braskem (BRKM5). A corretora destaca que julho foi positivo para os ativos […]",Positive,foi positiv,Positive,0.5744501352310181,True,https://www.moneytimes.com.br/guide-atualiza-carteira-de-agosto-apostando-em-gerdau-petrobras-e-cemig/
2018-08-03,InfoMoney,analistas,"Petrobras lucra R$ 10,07 bilhões no 2º tri de 2018, alta de 3.087% e acima do esperado pelo mercado","A expectativa de lucro líquido, segundo analistas consultados pela Bloomberg, é de R$ 6,92 bilhões",Positive,acima do esperado,Positive,0.7169636487960815,True,https://www.infomoney.com.br/negocios/petrobras-lucra-r-1007-bilhoes-no-2o-tri-de-2018-alta-de-3-087-e-acima-do-esperado-pelo-mercado/
2018-08-03,MoneyTimes,xp,XP mantém recomendação neutra e preço-alvo em R$ 20 para Petrobras,"Por Investing.com – Destaque na bolsa paulista nesta sexta-feira, as ações da Petrobras (PETR4) operam com ganhos de 3,97% a R$ 21,24, pesando positivamente para o resultado parcial do principal índice da bolsa paulista. Para a XP Investimentos, os números da estatal foram positivos, atendendo as expectativas do mercado. Apesar disso, o resultado foi melhor do que […]",Positive,foram positiv,Positive,0.638945460319519,True,https://www.moneytimes.com.br/xp-mantem-recomendacao-neutra-e-preco-alvo-em-r-20-para-petrobras/
2018-08-03,MoneyTimes,analistas,Petrobras sobe mais de 4% com balanço melhor do que o esperado pelo mercado,"Por Investing.com – No começo da manhã desta sexta-feira na bolsa paulista, as ações da Petrobras (PETR4) lideravam os ganhos do Ibovespa avançando 4,07% a R$ 21,22. A companhia divulgou mais cedo o resultado do segundo trimestre do ano, que ficou acima do esperado pelos analistas. A Coinvalores destaca que além do melhor desempenho operacional, que já […]",Positive,acima do esperado,Positive,0.5901125073432922,True,https://www.moneytimes.com.br/petrobras-sobe-mais-de-4-com-balanco-melhor-do-que-o-esperado-pelo-mercado/
2018-08-03,InfoMoney,xp investimentos,Marco Saravalle analisa o desempenho positivo da Petrobras,Especialista da XP Investimentos falou ainda sobre a Bolsa e como identificar ações baratas para comprar,Positive,para compra,Positive,0.7043138742446899,True,https://www.infomoney.com.br/mercados/marco-saravalle-analisa-o-desempenho-positivo-da-petrobras/
2018-08-16,MoneyTimes,xp,XP mantém recomendação neutra para Petrobras diante de incertezas eleitorais,"Por Investing.com – Faltando pouco mais de 50 dias para as eleições, a XP Investimentos revisou a tese de investimentos para as ações preferenciais da Petrobras (PETR4), levando consideração os impactos para o ativo nos diferentes cenários diferentes para a política de preços de combustíveis da companhia a partir de 2019. A corretora decidiu pela […]",Neutral,recomendação neutr,Positive,0.3982401490211487,False,https://www.moneytimes.com.br/xp-mantem-recomendacao-neutra-para-petrobras-diante-de-incertezas-eleitorais/
2018-08-16,InfoMoney,xp,"XP eleva preço-alvo para ações de Petrobras, mas não recomenda compra; entenda",Cenário incerto no pós-eleição pode gerar impactos para os papéis da companhia,Positive,eleva preço-alvo,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/xp-eleva-preco-alvo-para-acoes-de-petrobras-mas-nao-recomenda-compra-entenda/
2018-08-27,InfoMoney,xp,"Petrobras, Gerdau e outras 3 ações para comprar nesta semana, segundo a XP",Giba optou por realizar apenas uma substituição na seleção de investimentos para esta semana,Positive,para compra,Neutral,0.0,False,https://www.infomoney.com.br/onde-investir/petrobras-gerdau-e-outras-3-acoes-para-comprar-nesta-semana-segundo-a-xp/
2018-09-13,MoneyTimes,corretora,Planner corta estimativas para ação da Petrobras,"A Planner Corretora cortou o preço justo para as ações da Petrobras (PETR4) de R$ 25,50 para R$ 24,50 por ação, mantendo a recomendação de compra, mostra um relatório enviado a clientes nesta quinta-feira (13). O analista Luiz Francisco Caetano destaca que a empresa tem sofrido com a redução da produção e das vendas, mas mesmo assim […]",Positive,recomendação de compra,Negative,-0.7004148960113525,False,https://www.moneytimes.com.br/planner-corta-estimativas-para-acao-da-petrobras/
2018-09-24,MoneyTimes,credit suisse,BR Properties: Credit Suisse corta recomendação e preço-alvo,"O Credit Suisse cortou a recomendação para as ações da BR Properties (BRPR3) de neutra para underperform (desempenho abaixo da média do mercado) e reduziu o preço-alvo de R$ 11,50 para R$ 7,50, o que implica em um potencial de desvalorização de aproximadamente 12% na comparação com o fechamento de sexta-feira (24). A Petrobras (PETR4) […]",Negative,corta recomendação,Negative,-0.8046708106994629,True,https://www.moneytimes.com.br/br-properties-credit-suisse-corta-recomendacao-e-preco-alvo/
